hora_autorizacao,carrier_vtex,categoria produto,region,distancia,uf,dia da semana,cd_origem,City,categoria_distancia,dias_entrega2,prediction_label,prediction_dias_entrega,diff_day_auth_to_estimated2,baseline_otif,gap_baseline,OTIF_Previsto,gap_predict,dias_transportadora,prediction_dias_transportadora,gap_predict_transportadora
10.0,Favorita,fogao,Norte,6560398000000000.0,TO,3.0,saocarlos,palmas,longadistancia,12,8.985503961161884,9.0,14,1,2,0,-3.0,12.0,8.0,-4.0
12.0,Favorita,maquina,Norte,2241691700000000.0,PA,3.0,saocarlos,capitaopoco,muitodistante,18,12.298790260820905,12.0,20,1,2,0,-6.0,18.0,13.0,-5.0
13.0,Favorita,maquina,Norte,2.2483544e+16,RO,3.0,saocarlos,portovelho,muitodistante,13,12.32648407786401,12.0,20,1,7,0,-1.0,13.0,12.0,-1.0
13.0,Favorita,maquina,Norte,2241183200000000.0,PA,3.0,saocarlos,portel,muitodistante,26,19.771677549902634,20.0,26,1,0,0,-6.0,26.0,21.0,-5.0
13.0,Favorita,maquina,Norte,2.3312994e+16,PA,3.0,saocarlos,santaremnovo,muitodistante,21,18.724860600136648,19.0,24,1,3,0,-2.0,21.0,19.0,-2.0
16.0,Favorita,maquina,Norte,2221555000000000.0,PA,3.0,saocarlos,oeirasdopara,muitodistante,21,19.16679765082916,19.0,27,1,6,0,-2.0,21.0,17.0,-4.0
17.0,Favorita,maquina,Norte,2319662700000000.0,PA,3.0,saocarlos,terraalta,muitodistante,24,20.048017932454773,20.0,20,0,-4,0,-4.0,24.0,22.0,-2.0
19.0,Favorita,maquina,Norte,1.3055774e+16,AC,3.0,saocarlos,riobranco,longadistancia,13,15.185993937643648,15.0,24,1,11,1,2.0,13.0,14.0,1.0
16.0,Bertolini,micro-ondas,Norte,1.7236773e+16,RO,3.0,saocarlos,chupinguaia,muitodistante,18,14.915839444201074,15.0,24,1,6,0,-3.0,18.0,14.0,-4.0
8.0,Favorita,fogao,Norte,1133701200000000.0,TO,4.0,saocarlos,natividade,longadistancia,11,11.063623062709734,11.0,19,1,8,1,0.0,11.0,11.0,0.0
10.0,Favorita,maquina,Norte,2.338519e+16,PA,4.0,saocarlos,vigia,muitodistante,16,14.383169014534257,14.0,19,1,3,0,-2.0,16.0,14.0,-2.0
10.0,Favorita,forno,Norte,1903214200000000.0,PA,4.0,saocarlos,rondondopara,muitodistante,13,12.81111655490994,13.0,19,1,6,1,0.0,13.0,13.0,0.0
10.0,Favorita,fogao,Norte,2.4619882e+16,AP,4.0,saocarlos,macapa,muitodistante,25,18.136542062124885,18.0,26,1,1,0,-7.0,25.0,18.0,-7.0
11.0,Favorita,maquina,Norte,1.148142e+16,TO,4.0,saocarlos,dianopolis,longadistancia,12,13.071436882809497,13.0,23,1,11,1,1.0,12.0,13.0,1.0
14.0,Favorita,maquina,Norte,1.3075534e+16,TO,4.0,saocarlos,paraisodotocantins,longadistancia,14,11.42850840366292,11.0,20,1,6,0,-3.0,14.0,11.0,-3.0
14.0,Favorita,maquina,Norte,2.2483544e+16,RO,4.0,saocarlos,portovelho,muitodistante,14,12.792368426170835,13.0,23,1,9,0,-1.0,14.0,13.0,-1.0
16.0,Favorita,micro-ondas,Norte,2.2732351e+16,PA,4.0,saocarlos,belem,muitodistante,11,10.887373714002393,11.0,19,1,8,1,0.0,11.0,11.0,0.0
18.0,Favorita,maquina,Norte,9859060000000000.0,TO,4.0,saocarlos,palmeiropolis,longadistancia,12,12.272225235216478,12.0,23,1,11,1,0.0,12.0,13.0,1.0
22.0,Favorita,maquina,Norte,1.3055774e+16,AC,4.0,saocarlos,riobranco,longadistancia,16,16.25705019835545,16.0,25,1,9,1,0.0,16.0,16.0,0.0
17.0,Favorita,cooktop,Norte,1.6351456e+16,TO,5.0,saocarlos,araguaina,muitodistante,11,11.602991625709475,12.0,22,1,11,1,1.0,10.0,10.0,0.0
18.0,Bertolini,cooktop,Norte,1.3055774e+16,AC,5.0,saocarlos,riobranco,longadistancia,16,16.222743271022765,16.0,24,1,8,1,0.0,15.0,15.0,0.0
13.0,Bertolini,cooktop,Norte,1840900400000000.0,PA,6.0,saocarlos,maraba,muitodistante,9,11.519182458152596,12.0,17,1,8,1,3.0,9.0,10.0,1.0
21.0,Bertolini,cooktop,Norte,2024675000000000.0,PA,6.0,saocarlos,tucurui,muitodistante,11,12.335317857756921,12.0,18,1,7,1,1.0,11.0,12.0,1.0
12.0,Favorita,maquina,Norte,1503030700000000.0,TO,6.0,saocarlos,itapiratins,longadistancia,17,13.42201616857308,13.0,24,1,7,0,-4.0,16.0,13.0,-3.0
13.0,Favorita,maquina,Norte,2.2483544e+16,RO,6.0,saocarlos,portovelho,muitodistante,12,12.200874372330869,12.0,21,1,9,1,0.0,11.0,12.0,1.0
22.0,Favorita,maquina,Norte,2.2483544e+16,RO,6.0,saocarlos,portovelho,muitodistante,14,12.304330206606135,12.0,21,1,7,0,-2.0,13.0,12.0,-1.0
10.0,Favorita,maquina,Norte,2.338519e+16,PA,0.0,saocarlos,vigia,muitodistante,13,13.065214613422626,13.0,20,1,7,1,0.0,13.0,13.0,0.0
12.0,Favorita,maquina,Norte,1907040500000000.0,RO,0.0,saocarlos,presidentemedici,muitodistante,10,11.70502311660542,12.0,21,1,11,1,2.0,10.0,11.0,1.0
14.0,Favorita,maquina,Norte,1.3075534e+16,TO,0.0,saocarlos,paraisodotocantins,longadistancia,13,9.868918297248221,10.0,20,1,7,0,-3.0,13.0,9.0,-4.0
